sigma,kappa,W_max,n1,n2,K_a,K_b,theta,bNina,bNino,beta_out,alpha,muEI,muIR,muRS,tau,rho,S_0,E_0,I_0,R_0,K_0,F_0,W_0,sig_obs,delta
0.007662109375,3.9e-5,75.1953125,7.6953125,11.103515625,0.18916015625000004,0.9138671875,2.1171875,0,1.037109375,7.556640625e-4,0.876171875,18.487630208333332,31.69986979166667,3.3095703125,0.003935546875,0.034400390625,0.6298828125,0.00517578125,0.00830078125,0.4462890625,0.003865234375,0.001439453125,0.04599609375,0.06010094905504958,0.01666666666666666
0.009912109375,3.9e-5,60.1953125,4.6953125,9.353515625,0.07666015625,0.9388671875,1.1171875,0,1.787109375,5.306640625e-4,0.826171875,24.570963541666668,25.616536458333336,0.6845703125,0.001685546875,0.022150390625,0.5048828125,0.00267578125,0.00580078125,0.0712890625,0.001615234375,0.008189453125,0.00849609375,0.0576676139025949,0.01666666666666666
0.005412109375,3.9e-5,30.1953125,6.6953125,12.853515625,0.15166015625,0.9888671875,3.1171875,0,0.287109375,9.806640625e-4,0.926171875,12.404296875,13.449869791666666,2.4345703125,0.006185546875,0.046650390625,0.7548828125,0.00767578125,8.007812500000001e-4,0.3212890625,0.006115234375,0.003689453125,0.03349609375,0.1831524386769161,0.01666666666666666
0.004287109375,3.9e-5,67.6953125,5.1953125,8.478515625,0.13291015625000002,0.9513671875,2.6171875,0,2.912109375,4.181640625e-4,0.851171875,33.69596354166667,16.491536458333332,3.7470703125,0.005060546875,0.016025390625,0.8173828125,0.00892578125,0.00705078125,0.3837890625,0.004990234375,0.004814453125,0.01474609375,0.17811704338528217,0.01666666666666666
0.008787109375,3.9e-5,37.6953125,7.1953125,11.978515625,0.05791015625,0.9013671875,0.6171875,0,1.412109375,8.681640625e-4,0.951171875,21.529296875,28.658203125,1.9970703125,0.009560546875,0.040525390625,0.5673828125,0.00392578125,0.00205078125,0.1337890625,0.009490234375,0.009314453125,0.03974609375,0.0964345977641642,0.01666666666666666
0.006537109375,3.9e-5,22.6953125,4.1953125,13.728515625,0.17041015625,0.9263671875,3.6171875,0,2.162109375,1.931640625e-4,0.901171875,27.612630208333336,34.741536458333336,2.8720703125,0.007310546875,0.003775390625,0.6923828125,0.00642578125,0.00455078125,0.2587890625,0.007240234375,0.002564453125,0.00224609375,0.1446848609019071,0.01666666666666666
0.002037109375,3.9e-5,52.6953125,6.1953125,10.228515625,0.09541015625000002,0.9763671875,1.6171875,0,0.662109375,6.431640625000001e-4,0.8011718750000001,15.445963541666666,22.574869791666668,1.1220703125,0.002810546875,0.028275390625,0.9423828125,0.00142578125,0.00955078125,0.0087890625,0.002740234375,0.007064453125,0.02724609375,0.15334853725507858,0.01666666666666666
0.001755859375,3.9e-5,73.3203125,6.8203125,9.134765625,0.05322265625,0.9232421875,0.7421875,0,0.380859375,8.962890625000001e-4,0.982421875,25.331380208333336,32.460286458333336,2.9814453125,0.009841796875,0.035931640625,0.7705078125,0.00673828125,0.00986328125,0.3994140625,0.008646484375,0.007345703125,0.02255859375,0.1086535583715886,0.01666666666666666
0.006255859375,3.9e-5,43.3203125,4.8203125,12.634765625,0.12822265625,0.9732421875,2.7421875,0,1.880859375,4.462890625e-4,0.882421875,13.164713541666666,20.293619791666664,1.2314453125,0.005341796875,0.011431640625,0.5205078125,0.00173828125,0.00486328125,0.1494140625,0.004146484375,0.002845703125,0.04755859375,0.06245381374610588,0.01666666666666666
0.008505859375,3.9e-5,28.3203125,7.8203125,14.384765625,0.09072265625,0.9982421875,1.7421875,0,1.130859375,6.712890625e-4,0.8324218750000001,31.41471354166667,14.210286458333332,3.8564453125,0.003091796875,0.048181640625,0.6455078125,0.00923828125,0.00236328125,0.2744140625,0.001896484375,0.009595703125,0.01005859375,0.07491340178530664,0.01666666666666666
0.004005859375,3.9e-5,58.3203125,5.8203125,10.884765625,0.16572265625000002,0.9482421875,3.7421875,0,2.630859375,2.212890625e-4,0.932421875,19.248046875,26.376953125,2.1064453125,0.007591796875,0.023681640625,0.8955078125,0.00423828125,0.00736328125,0.0244140625,0.006396484375,0.005095703125,0.03505859375,0.06128677583765239,0.01666666666666666
0.005130859375,3.9e-5,35.8203125,6.3203125,13.509765625,0.18447265625000003,0.9107421875,2.2421875,0,0.005859375,5.587890625e-4,0.857421875,28.373046875,29.418619791666664,0.7939453125,0.004216796875,0.042056640625,0.9580078125,0.00298828125,0.00111328125,0.2119140625,0.005271484375,0.003970703125,0.01630859375,0.06671130671165884,0.01666666666666666
0.009630859375,3.9e-5,65.8203125,4.3203125,10.009765625,0.10947265625,0.9607421875,0.2421875,0,1.505859375,1.087890625e-4,0.957421875,16.206380208333332,17.251953125,2.5439453125,0.008716796875,0.017556640625,0.7080078125,0.00798828125,0.00611328125,0.4619140625,0.009771484375,0.008470703125,0.04130859375,0.092460458597634,0.01666666666666666
0.007380859375,3.9e-5,50.8203125,7.3203125,8.259765625,0.14697265625,0.9857421875,3.2421875,0,0.755859375,7.837890625e-4,0.907421875,34.456380208333336,23.335286458333336,1.6689453125,0.006466796875,0.029806640625,0.5830078125,4.8828125e-4,0.00861328125,0.0869140625,0.007521484375,0.001720703125,0.00380859375,0.08166410526027904,0.01666666666666666
0.002880859375,3.9e-5,20.8203125,5.3203125,11.759765625,0.07197265625,0.9357421875,1.2421875,0,2.255859375,3.337890625e-4,0.8074218750000001,22.289713541666668,35.501953125,3.4189453125,0.001966796875,0.005306640625,0.8330078125,0.00548828125,0.00361328125,0.3369140625,0.003021484375,0.006220703125,0.02880859375,0.10639117838582024,0.01666666666666666
0.002318359375,3.9e-5,62.0703125,4.0703125,13.072265625,0.08134765625000001,0.9169921875,3.4921875,0,0.193359375,3.900390625e-4,0.844921875,14.685546875,21.814453125,2.3251953125,0.008154296875,0.032869140625,0.8017578125,0.00486328125,4.8828125e-4,0.3056640625,0.008083984375,0.009033203125,6.835937500000001e-4,0.13814912834204734,0.01666666666666666
0.006818359375,3.9e-5,32.0703125,6.0703125,9.572265625,0.15634765625000002,0.9669921875,1.4921875,0,1.693359375,8.400390625000001e-4,0.944921875,26.852213541666668,33.98111979166667,0.5751953125,0.003654296875,0.008369140625,0.5517578125,0.00986328125,0.00548828125,0.0556640625,0.003583984375,0.004533203125,0.02568359375,0.18553575908299536,0.01666666666666666
0.009068359375,3.9e-5,47.0703125,5.0703125,11.322265625,0.11884765625000002,0.9919921875,2.4921875,0,0.943359375,1.6503906249999998e-4,0.994921875,20.768880208333336,27.897786458333336,3.2001953125,0.001404296875,0.045119140625,0.6767578125,0.00236328125,0.00798828125,0.4306640625,0.001333984375,0.006783203125,0.01318359375,0.06402507340535522,0.01666666666666666
0.004568359375,3.9e-5,77.0703125,7.0703125,14.822265625,0.19384765625,0.9419921875,0.4921875,0,2.443359375,6.150390625e-4,0.894921875,32.935546875,15.731119791666666,1.4501953125,0.005904296875,0.020619140625,0.9267578125,0.00736328125,0.00298828125,0.1806640625,0.005833984375,0.002283203125,0.03818359375,0.07665042884182185,0.01666666666666666
0.003443359375,3.9e-5,24.5703125,4.5703125,10.447265625,0.17509765625,0.9044921875,1.9921875,0,0.568359375,2.775390625e-4,0.919921875,17.727213541666668,12.689453125,1.0126953125,0.004779296875,0.038994140625,0.9892578125,0.00611328125,0.00923828125,0.1181640625,0.004708984375,0.001158203125,0.00693359375,0.09304516689153387,0.01666666666666666
0.007943359375,3.9e-5,54.5703125,6.5703125,13.947265625,0.10009765625,0.9544921875,3.9921875,0,2.068359375,7.275390625e-4,0.819921875,29.893880208333336,24.856119791666668,2.7626953125,0.009279296875,0.014494140625,0.7392578125,0.00111328125,0.00423828125,0.3681640625,0.009208984375,0.005658203125,0.03193359375,0.1065878629917279,0.01666666666666666
0.005693359375,3.9e-5,69.5703125,5.5703125,12.197265625,0.13759765625000003,0.9794921875,0.9921875,0,1.318359375,5.025390625000001e-4,0.8699218750000001,23.810546875,30.939453125,1.8876953125,0.007029296875,0.026744140625,0.6142578125,0.00861328125,0.00173828125,0.2431640625,0.006958984375,0.003408203125,0.01943359375,0.11969152055680753,0.01666666666666666
0.001193359375,3.9e-5,39.5703125,7.5703125,8.697265625,0.06259765625000001,0.9294921875,2.9921875,0,2.818359375,9.525390625e-4,0.969921875,35.97721354166667,18.772786458333332,3.6376953125,0.002529296875,0.002244140625,0.8642578125,0.00361328125,0.00673828125,0.4931640625,0.002458984375,0.007908203125,0.04443359375,0.14292890642536804,0.01666666666666666
0.001263671875,3.9e-5,70.0390625,6.1015625,14.220703125,0.07314453125,0.9568359375,3.6484375,0,0.779296875,1.580078125e-4,0.905859375,26.281901041666668,25.046223958333336,3.6103515625,0.005974609375,0.039376953125,0.7744140625,0.00275390625,0.00931640625,0.0517578125,0.005341796875,0.004181640625,0.03779296875,0.1605816309922375,0.01666666666666666
0.005763671875,3.9e-5,40.0390625,4.1015625,10.720703125,0.14814453125000002,0.9068359375,1.6484375,0,2.279296875,6.080078125e-4,0.805859375,14.115234375,12.879557291666666,1.8603515625,0.001474609375,0.014876953125,0.5244140625,0.00775390625,0.00431640625,0.3017578125,0.009841796875,0.008681640625,0.01279296875,0.11511900525074452,0.01666666666666666
0.008013671875,3.9e-5,25.0390625,7.1015625,8.970703125,0.11064453125,0.9318359375,2.6484375,0,0.029296875,3.830078125e-4,0.8558593750000001,32.365234375,18.962890625,2.7353515625,0.003724609375,0.027126953125,0.6494140625,2.5390625e-4,0.00181640625,0.1767578125,0.007591796875,0.001931640625,0.02529296875,0.14903002784121783,0.01666666666666666
0.003513671875,3.9e-5,55.0390625,5.1015625,12.470703125,0.18564453125,0.9818359375,0.6484375,0,1.529296875,8.330078125e-4,0.955859375,20.198567708333336,31.12955729166667,0.9853515625,0.008224609375,0.002626953125,0.8994140625,0.00525390625,0.00681640625,0.4267578125,0.003091796875,0.006431640625,2.9296875000000004e-4,0.13237558238906788,0.01666666666666666
0.004638671875,3.9e-5,47.5390625,6.6015625,8.095703125,0.16689453125000003,0.9693359375,1.1484375,0,1.154296875,4.955078125e-4,0.8308593750000001,29.323567708333336,34.171223958333336,1.4228515625,0.002599609375,0.033251953125,0.9619140625,0.00650390625,5.6640625e-4,0.3642578125,0.008716796875,0.007556640625,0.04404296875,0.09708232916891577,0.01666666666666666
0.009138671875,3.9e-5,77.5390625,4.6015625,11.595703125,0.09189453125,0.9193359375,3.1484375,0,2.654296875,9.455078125e-4,0.930859375,17.156901041666668,22.004557291666668,3.1728515625,0.007099609375,0.008751953125,0.7119140625,0.00150390625,0.00556640625,0.1142578125,0.004216796875,0.003056640625,0.01904296875,0.13060642316704618,0.01666666666666666
0.006888671875,3.9e-5,62.5390625,7.6015625,13.345703125,0.12939453125,0.9443359375,0.1484375,0,0.404296875,2.705078125e-4,0.980859375,35.40690104166667,15.921223958333332,0.5478515625,0.009349609375,0.045501953125,0.5869140625,0.00900390625,0.00806640625,0.4892578125,0.001966796875,0.009806640625,0.03154296875,0.1346316745155491,0.01666666666666666
0.002388671875,3.9e-5,32.5390625,5.6015625,9.845703125,0.05439453125,0.9943359375,2.1484375,0,1.904296875,7.205078125e-4,0.880859375,23.240234375,28.087890625,2.2978515625,0.004849609375,0.021001953125,0.8369140625,0.00400390625,0.00306640625,0.2392578125,0.006466796875,0.005306640625,0.00654296875,0.05426800844725221,0.01666666666666666
0.002951171875,3.9e-5,51.2890625,4.8515625,11.158203125,0.06376953125000001,0.9505859375,0.3984375,0,1.341796875,6.642578125e-4,0.868359375,12.594401041666666,17.442057291666668,3.3916015625,0.007662109375,0.042439453125,0.8056640625,0.00587890625,0.00119140625,0.1455078125,0.004779296875,0.001369140625,0.03466796875,0.12639402113854886,0.01666666666666666
0.007451171875,3.9e-5,21.2890625,6.8515625,14.658203125,0.13876953125000002,0.9005859375,2.3984375,0,2.841796875,2.142578125e-4,0.968359375,24.761067708333336,29.608723958333336,1.6416015625,0.003162109375,0.017939453125,0.5556640625,8.7890625e-4,0.00619140625,0.3955078125,0.009279296875,0.005869140625,0.00966796875,0.15672934650210665,0.01666666666666666
0.009701171875,3.9e-5,36.2890625,5.8515625,12.908203125,0.10126953125000002,0.9255859375,1.3984375,0,0.591796875,8.892578125000001e-4,0.918359375,18.677734375,35.69205729166667,2.5166015625,0.005412109375,0.030189453125,0.6806640625,0.00837890625,0.00869140625,0.0205078125,0.007029296875,0.003619140625,0.04716796875,0.12618330627446994,0.01666666666666666
0.005201171875,3.9e-5,66.2890625,7.8515625,9.408203125,0.17626953125,0.9755859375,3.3984375,0,2.091796875,4.392578125e-4,0.818359375,30.84440104166667,23.525390625,0.7666015625,0.009912109375,0.005689453125,0.9306640625,0.00337890625,0.00369140625,0.2705078125,0.002529296875,0.008119140625,0.02216796875,0.13702626840677112,0.01666666666666666
